seed,delta_mrr,delta_hits_at_1,delta_hits_at_5,delta_hits_at_10,delta_mean_rank,delta_median_rank
42,-0.08680722466764997,-0.08506054960409876,-0.08849557522123894,-0.09041686073591058,508.160572892408,1128.0
43,-0.05048384524588742,-0.050360968793665584,-0.04913833255705636,-0.04855612482533768,867.915987424313,1331.0
44,-0.09720782557312314,-0.09233814625058222,-0.0992081974848626,-0.10357475547275267,938.7820214252446,1551.0
