Model,MRR,Hits@1,Hits@5,Hits@10,Mean Rank,Median Rank
G0,0.1406 ± 0.0582,0.1351 ± 0.0555,0.1429 ± 0.0604,0.1465 ± 0.0632,1145.0 ± 140.9,792.3 ± 168.6
G3,0.0624 ± 0.0338,0.0592 ± 0.0332,0.0640 ± 0.0342,0.0656 ± 0.0348,1916.6 ± 131.7,2129.0 ± 60.2
