graph,seed,num_pairs,num_queries,mrr,hits_at_1,hits_at_5,hits_at_10,mean_rank,median_rank,min_rank,max_rank,best_epoch,best_warm_val_loss
G0,42,651,1302,0.0009644921618614588,0.0,0.0,0.0,1118.4278033794162,1121.0,528,1706,500,0.2599007487297058
G0,43,651,1302,0.0008279382055896499,0.0,0.0,0.0,1288.5875576036867,1320.0,697,1995,500,0.2607317864894867
G0,44,651,1302,0.0011782702888216957,0.0,0.0,0.0,989.8356374807988,1053.0,265,1713,499,0.2620965540409088
G3,42,651,1302,0.006007901109377015,0.0030721966205837174,0.005376344086021506,0.007680491551459293,921.9224270353303,934.0,1,2076,500,0.25629544258117676
G3,43,651,1302,0.021346428354305953,0.008448540706605223,0.026113671274961597,0.03840245775729647,639.6566820276498,611.0,1,1738,500,0.25751838088035583
G3,44,651,1302,0.010499617372335226,0.0069124423963133645,0.010752688172043012,0.01228878648233487,906.0299539170506,970.0,1,2075,499,0.2617175281047821
