graph,n_seeds,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std
G0,3,0.9191252413669226,0.0033813574251321094,0.935530672704917,0.004247080303120731,0.9002973740276717,0.002926544220858467,0.9175748060309034,0.0033906660615015457,0.9722283833254277,0.0012269077864714864,0.9757992440368973,0.0011212509474945597
A1_target,3,0.8589282061261047,0.008065286429581152,0.894695151655393,0.010380646768957903,0.8136697252283942,0.009736340108243955,0.852238510783371,0.008485659366608521,0.9296934684777076,0.006753663276906153,0.9417146283154992,0.00511131742372859
A2_enzyme,3,0.8708905254439405,0.003572740370609913,0.9041700288089524,0.0010001667350479943,0.8297259269238254,0.008619261663518993,0.8653321135847306,0.0044411139901824005,0.9348624375609113,0.004302084603357712,0.9460734092326791,0.003088985544200845
A3_transporter,3,0.8913300003492649,0.0016604079146884955,0.9253090294935834,0.0013987004527183068,0.8513828391236448,0.002149221173811653,0.8868077264779134,0.001784758209935613,0.9449503817440922,0.002782984883363171,0.9568883281125928,0.0019342055898841036
A4_carrier,3,0.914057159678876,0.002996494975235343,0.9371746854114941,0.002604311847379611,0.8876240513718622,0.006089679176991276,0.9117176956890612,0.0033141540175606146,0.9683160892502073,0.001424206794918638,0.9729690570969228,0.0011524171480475202
A5_indication,3,0.8994254594079463,0.006936105509704036,0.9316354505452235,0.007565326865266821,0.8621152474042141,0.006935478604871217,0.8955277430900391,0.007198248373434233,0.9574623423646941,0.005813583816753467,0.9651414870977874,0.003938143269306442
A6_contraindication,3,0.910774070581426,0.0005784011441208693,0.933387561565719,0.0019945468300411233,0.8846927218205677,0.0030764923179227074,0.9083833898899072,0.0007923178208785035,0.9671786582248094,0.0005055913121505463,0.9716700951946072,0.00037085492979169616
A7_off_label,3,0.912934522829444,0.014582157846874732,0.9321754260836758,0.006194786017733117,0.8905778336601454,0.024701390084610156,0.9108336937252309,0.015921247152611583,0.9684253503176,0.008403127496167475,0.9724983095582179,0.007224488355409189
