Graph,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
G0,0.919180624784828,0.0029743714313525886,0.9354218688191392,0.003051428818124076,0.900532878291197,0.0038436407273847533,0.9176434773826155,0.0030746748831431206
G1,0.9218959091113207,0.0021547132215132,0.9368136890792493,0.0020774396866142337,0.9048258416034247,0.004421832696677698,0.9205359814191719,0.0023351945996293298
G2,0.9199088418878262,0.0017132356254038975,0.9353065143744339,0.0020787111086507898,0.9022332989058033,0.0047520186303014935,0.9184634368966292,0.001958309018981561
G3,0.9227176792851048,0.00303610143149783,0.9372678579594892,0.0018433713221808823,0.906081698025656,0.005880025123738122,0.9214031869042173,0.0033000086229930184
