evaluation,graph,n_model_seeds,mrr_mean,mrr_sd,hits_at_1_mean,hits_at_1_sd,hits_at_5_mean,hits_at_5_sd,hits_at_10_mean,hits_at_10_sd,mean_rank_mean,mean_rank_sd,median_rank_mean,median_rank_sd
primary_cold_to_warm,G0,3,0.14060315713303803,0.058158778480490975,0.13513041453190497,0.05554298377313959,0.14293199813693525,0.06042643145231855,0.14648346530041914,0.06319236696852404,1145.0302942089738,140.88805726664276,792.3333333333334,168.63076034144345
primary_cold_to_warm,G3,3,0.010183818959156434,0.00783251300313922,0.0070058997050147,0.008003468324036428,0.009975159136779967,0.007863972168051837,0.0118964446514516,0.0074818412959773315,1778.0619469026549,88.24047293020604,2002.6666666666667,88.00189391901365
secondary_cold_to_cold,G0,3,0.0009902335520908668,0.00017657889600296948,0.0,0.0,0.0,0.0,0.0,0.0,1132.2836661546341,149.8571524626447,1164.6666666666667,138.75277774997275
secondary_cold_to_cold,G3,3,0.008430448797219365,0.00407573775751955,0.0012800819252432,0.0015988218121859648,0.005376344086021466,0.003347848650952885,0.011008704557091601,0.006160373484647208,642.9854070660522,61.38530034737448,499.3333333333333,92.58689612106744
