model_seed,delta_mrr,delta_hits_at_1,delta_hits_at_5,delta_hits_at_10,delta_mean_rank,delta_median_rank
42,0.006516968760980081,0.0007680491551459293,0.0038402457757296467,0.01152073732718894,-496.4408602150537,-638.0
43,0.012069022161392867,0.0030721966205837174,0.009216589861751152,0.016897081413210446,-693.7327188940093,-904.0
44,0.0037346548130124777,0.0,0.0030721966205837174,0.004608294930875576,-277.72119815668214,-454.0
