evaluation,model_seed,delta_mrr,delta_hits_at_1,delta_hits_at_5,delta_hits_at_10,delta_mean_rank,delta_median_rank
primary_cold_to_warm,42,-0.16068464297164478,-0.1588262692128552,-0.1630181648812296,-0.165929203539823,576.1698882161154,1133.0
primary_cold_to_warm,43,-0.0689933777764524,-0.06916627852817879,-0.0699231485794131,-0.0678272007452259,505.86754774103406,1062.0
primary_cold_to_warm,44,-0.1615799937735476,-0.1563809967396368,-0.1659292035398231,-0.1700046576618537,817.0575221238936,1436.0
secondary_cold_to_cold,42,0.0065169687609801,0.0007680491551459,0.0038402457757296,0.0115207373271889,-496.4408602150537,-638.0
secondary_cold_to_cold,43,0.012069022161392901,0.0030721966205837,0.0092165898617511,0.0168970814132104,-693.7327188940093,-904.0
secondary_cold_to_cold,44,0.0037346548130124998,0.0,0.0030721966205837,0.0046082949308755,-277.72119815668214,-454.0
