evaluation,graph,model_seed,mrr,hits_at_1,hits_at_5,hits_at_10,mean_rank,median_rank
primary_cold_to_warm,G0,42,0.1671351270442712,0.1614462040055892,0.1704122030740568,0.1750116441546343,1270.130414531905,932.0
primary_cold_to_warm,G0,43,0.0739097967616771,0.0713204471355379,0.0736492780624126,0.0740568234746157,1172.546401956218,840.0
primary_cold_to_warm,G0,44,0.1807645475931658,0.1726245924545878,0.1847345132743363,0.1903819282720074,992.4140661387984,605.0
primary_cold_to_warm,G3,42,0.0064504840726264,0.002619934792734,0.0073940381928272,0.0090824406148113,1846.3003027480204,2065.0
primary_cold_to_warm,G3,43,0.0049164189852247,0.0021541686073591,0.0037261294829995,0.0062296227293898,1678.413949697252,1902.0
primary_cold_to_warm,G3,44,0.0191845538196182,0.016243595714951,0.0188053097345132,0.0203772706101537,1809.471588262692,2041.0
secondary_cold_to_cold,G0,42,0.0009644921618614,0.0,0.0,0.0,1118.4278033794162,1121.0
secondary_cold_to_cold,G0,43,0.0008279382055896,0.0,0.0,0.0,1288.5875576036867,1320.0
secondary_cold_to_cold,G0,44,0.0011782702888216,0.0,0.0,0.0,989.8356374807988,1053.0
secondary_cold_to_cold,G3,42,0.0074814609228415,0.0007680491551459,0.0038402457757296,0.0115207373271889,621.9869431643625,483.0
secondary_cold_to_cold,G3,43,0.0128969603669825,0.0030721966205837,0.0092165898617511,0.0168970814132104,594.8548387096774,416.0
secondary_cold_to_cold,G3,44,0.0049129251018341,0.0,0.0030721966205837,0.0046082949308755,712.1144393241167,599.0
