graph,split_seed,model_seed,best_epoch,best_warm_val_loss,num_queries,candidate_drugs,mrr,hits_at_1,hits_at_5,hits_at_10,mean_rank,median_rank,original_saved_mrr,exact_rank_agreement,checkpoint_sha256,graph_sha256
G0,42,42,500,0.2599007487297058,17176,4278,0.1671351270442712,0.1614462040055892,0.17041220307405683,0.17501164415463438,1270.130414531905,932.0,0.1671351270442712,1.0,8e53b38e2218bef7522e4c8ba328ecebc175b8b70bd86cf041327a145ce148b0,190cb3791547b2f49389f9f3d049fc3cf8283db2b7c736b8e29641bfab433679
G0,42,43,500,0.2607317864894867,17176,4278,0.07390979676167718,0.07132044713553796,0.07364927806241267,0.07405682347461574,1172.546401956218,840.0,0.07390979676167718,1.0,89be1a08d5496dd927ce8ca88cbea7db0b062ba51537df630ec6f4ca5dbda59b,190cb3791547b2f49389f9f3d049fc3cf8283db2b7c736b8e29641bfab433679
G0,42,44,499,0.2620965540409088,17176,4278,0.18076454759316588,0.1726245924545878,0.1847345132743363,0.19038192827200745,992.4140661387984,605.0,0.18076454759316588,1.0,fafd3d46feda391973dc60100c3d1183645e7f632472bfe9e88a652ce9faa4a0,190cb3791547b2f49389f9f3d049fc3cf8283db2b7c736b8e29641bfab433679
G3,42,42,500,0.25629544258117676,17176,4278,0.006450484072626403,0.0026199347927340477,0.007394038192827201,0.009082440614811364,1846.3003027480204,2065.0,0.08032790237662123,0.019736842105263157,1f17a602df456e3c89884c042f5e8fcd702ebacc51454c5028c06e4c589d23fd,f6935483f8455ad8ce9738dcfb1209307b214e159faab9059cf4d6bdc86e4403
G3,42,43,500,0.25751838088035583,17176,4278,0.004916418985224704,0.002154168607359106,0.0037261294829995344,0.006229622729389846,1678.413949697252,1902.0,0.023425951515789755,0.011178388448998603,5c3a00539b8bb15746344ec1e89c39e624881ad666c0dabde95dd8481fdd8ceb,f6935483f8455ad8ce9738dcfb1209307b214e159faab9059cf4d6bdc86e4403
G3,42,44,499,0.2617175281047821,17176,4278,0.019184553819618283,0.016243595714951094,0.018805309734513276,0.0203772706101537,1809.4715882626922,2041.0,0.08355672202004273,0.039473684210526314,7abaff551596c7be0b4a9077c50609cc14db489136455d326b7b1a600fc95d77,f6935483f8455ad8ce9738dcfb1209307b214e159faab9059cf4d6bdc86e4403
