severity,pair_count,directional_query_count,MRR,Hits@1,Hits@5,Hits@10,MeanRank,MedianRank,MinRank,MaxRank
Major,5876,11752,0.01729524204290913,0.005445881552076242,0.019656228727025188,0.03395166780122532,1170.208390061266,854,1,4168
Moderate,26058,52116,0.012359351265197912,0.0036457134085501573,0.012299485762529741,0.02149052114513777,1125.5553764678793,810,1,4243
Minor,2402,4804,0.009841034550436308,0.0014571190674437969,0.010616153205661949,0.017485428809325562,1102.451290591174,697,1,3877
Unknown,14769,29538,0.011418108669381394,0.0028099397386417498,0.010968921389396709,0.020278962692125396,1075.2702620353443,723,1,4213
