Relation,MRR,Delta_MRR_vs_G0,Ranking_Wins_out_of_3,F1,Delta_F1_vs_G0,F1_Wins_out_of_3,Accuracy,Delta_Accuracy_vs_G0
Indication,0.5356592139,0.0065415989,2,0.8955277430900391,-0.0220470629408642,0,0.8994254594079463,-0.0196997819589764
Carrier,0.5352631013,0.0061454863,3,0.9117176956890612,-0.0058571103418422,0,0.914057159678876,-0.0050680816880467
Target,0.5351538261,0.0060362111,2,0.852238510783371,-0.0653362952475323,0,0.8589282061261047,-0.0601970352408181
Transporter,0.532645305,0.00352769,3,0.8868077264779134,-0.03076707955299,0,0.8913300003492649,-0.0277952410176578
Enzyme,0.5279792746,-0.0011383404,1,0.8653321135847306,-0.0522426924461726,0,0.8708905254439405,-0.0482347159229821
Contraindication,0.5258070628,-0.0033105522,1,0.9083833898899072,-0.0091914161409961,0,0.910774070581426,-0.0083511707854965
Off-label use,0.5105764965,-0.0185411185,1,0.9108336937252308,-0.0067411123056723,1,0.912934522829444,-0.0061907185374786
