ranking_position,relation,MRR_mean,delta_MRR_vs_G0,ranking_wins_vs_G0,F1_mean,delta_F1_vs_G0,F1_wins_vs_G0,Accuracy_mean,delta_Accuracy_vs_G0,evaluation_pattern
1,Indication,0.5356592139,0.0065415989,2,0.8955277430900391,-0.022047062940864226,0,0.8994254594079463,-0.019699781958976443,"Improved ranking, lower classification"
2,Carrier,0.5352631013,0.0061454863,3,0.9117176956890612,-0.00585711034184222,0,0.914057159678876,-0.005068081688046733,"Improved ranking, lower classification"
3,Target,0.5351538261,0.0060362111,2,0.852238510783371,-0.06533629524753237,0,0.8589282061261047,-0.06019703524081813,"Improved ranking, lower classification"
4,Transporter,0.532645305,0.00352769,3,0.8868077264779134,-0.030767079552990035,0,0.8913300003492649,-0.027795241017657884,"Improved ranking, lower classification"
5,Enzyme,0.5279792746,-0.0011383404,1,0.8653321135847306,-0.05224269244617267,0,0.8708905254439405,-0.048234715922982195,Lower ranking and classification
6,Contraindication,0.5258070628,-0.0033105522,1,0.9083833898899073,-0.00919141614099613,0,0.9107740705814261,-0.008351170785496556,Lower ranking and classification
7,Off-label use,0.5105764965,-0.0185411185,1,0.9108336937252309,-0.006741112305672314,1,0.912934522829444,-0.006190718537478694,Lower ranking and classification
