ranking_position,graph,relation,MRR_mean,delta_MRR_vs_G0,ranking_wins_vs_G0,F1_mean,delta_F1_vs_G0,F1_wins_vs_G0,Accuracy_mean,delta_Accuracy_vs_G0,Accuracy_wins_vs_G0,ROC_AUC_mean,delta_ROC_AUC_vs_G0,PR_AUC_mean,delta_PR_AUC_vs_G0,evaluation_pattern
1,A5_indication,Indication,0.5356592139,0.0065415989,2,0.8955277430900391,-0.022047062940864226,0,0.8994254594079463,-0.019699781958976443,0,0.9574623423646941,-0.01476604096073364,0.9651414870977875,-0.010657756939109938,"Improved ranking, lower classification"
2,A4_carrier,Carrier,0.5352631013,0.0061454863,3,0.9117176956890612,-0.00585711034184222,0,0.914057159678876,-0.005068081688046733,0,0.9683160892502073,-0.0039122940752204976,0.9729690570969228,-0.0028301869399744994,"Improved ranking, lower classification"
3,A1_target,Target,0.5351538261,0.0060362111,2,0.852238510783371,-0.06533629524753237,0,0.8589282061261047,-0.06019703524081813,0,0.9296934684777076,-0.042534914847720096,0.9417146283154992,-0.034084615721398204,"Improved ranking, lower classification"
4,A3_transporter,Transporter,0.532645305,0.00352769,3,0.8868077264779134,-0.030767079552990035,0,0.8913300003492649,-0.027795241017657884,0,0.9449503817440922,-0.02727800158133568,0.9568883281125928,-0.018910915924304605,"Improved ranking, lower classification"
5,A2_enzyme,Enzyme,0.5279792746,-0.0011383404,1,0.8653321135847306,-0.05224269244617267,0,0.8708905254439405,-0.048234715922982195,0,0.934862437560911,-0.037365945764516684,0.946073409232679,-0.02972583480421831,Lower ranking and classification
6,A6_contraindication,Contraindication,0.5258070628,-0.0033105522,1,0.9083833898899073,-0.00919141614099613,0,0.9107740705814261,-0.008351170785496556,0,0.9671786582248095,-0.005049725100618223,0.9716700951946072,-0.004129148842290209,Lower ranking and classification
7,A7_off_label,Off-label use,0.5105764965,-0.0185411185,1,0.9108336937252309,-0.006741112305672314,1,0.912934522829444,-0.006190718537478694,1,0.9684253503176,-0.003803033007827805,0.9724983095582179,-0.003300934478679555,Lower ranking and classification
