DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,PrimeKG_node_A,PrimeKG_node_B,mapping_method_A,mapping_method_B,PrimeKG_known_overlap
DDInter1,Abacavir,DB01048,DDInter402,Clobetasol,DB11750,Unknown,4636,3830,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter413,Clopidogrel,DB00758,Unknown,4636,3752,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter424,Cobicistat,DB09065,Moderate,4636,3817,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter475,Dapsone,DB00250,Unknown,4636,3380,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter513,Dexamethasone,DB01234,Unknown,4636,3103,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter576,Disulfiram,DB00822,Minor,4636,3755,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter596,Doxorubicin,DB00997,Unknown,4636,3058,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter655,Epirubicin,DB00445,Moderate,4636,3502,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter690,Ethanol,DB00898,Minor,4636,3370,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter712,Famotidine,DB00927,Unknown,4636,4099,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter732,Fexofenadine,DB00950,Unknown,4636,3049,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter766,Fluticasone,DB13867,Unknown,4636,2823,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter825,Glimepiride,DB00222,Unknown,4636,4553,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter831,Glyburide,DB01016,Unknown,4636,3063,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter856,Heparin,DB01109,Unknown,4636,3293,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter885,Hydrocortisone,DB00741,Unknown,4636,2811,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter894,Hydroxyurea,DB01005,Unknown,4636,3917,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter905,Idelalisib,DB09054,Moderate,4636,3816,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter913,Imiquimod,DB00724,Unknown,4636,4244,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter947,Interferon beta-1a,DB00060,Moderate,4636,4067,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter948,Interferon beta-1b,DB00068,Moderate,4636,4068,exact normalized-name fallback,exact normalized-name fallback,false
