DDInter_ID,DDInter_name,DrugBank_ID,PrimeKG_name,PrimeKG_node,mapping_method,mapping_confidence_category
DDInter1062,Levorphanol,DB00854,Levorphanol,5934,exact normalized-name fallback,exact-name match
DDInter1063,Levosalbutamol,DB13139,Levosalbutamol,4037,exact normalized-name fallback,exact-name match
DDInter1064,Levothyroxine,DB00451,Levothyroxine,2843,exact normalized-name fallback,exact-name match
DDInter1065,Licorice,,,,none,unmapped
DDInter1066,Lidocaine,DB00281,Lidocaine,3723,exact normalized-name fallback,exact-name match
DDInter1067,Lidocaine (ophthalmic),,,,none,unmapped
DDInter1068,Lidocaine (topical),,,,none,unmapped
DDInter1069,Linaclotide,DB08890,Linaclotide,8433,exact normalized-name fallback,exact-name match
DDInter107,Apalutamide,DB11901,Apalutamide,4451,exact normalized-name fallback,exact-name match
DDInter1070,Linagliptin,DB08882,Linagliptin,4381,exact normalized-name fallback,exact-name match
DDInter1071,Lincomycin,DB01627,Lincomycin,9130,exact normalized-name fallback,exact-name match
DDInter1072,Lindane,DB00431,Lindane,4976,exact normalized-name fallback,exact-name match
DDInter1073,Linezolid,DB00601,Linezolid,3665,exact normalized-name fallback,exact-name match
DDInter1074,Liothyronine,DB00279,Liothyronine,2842,exact normalized-name fallback,exact-name match
DDInter1075,Liotrix,DB01583,Liotrix,2847,exact normalized-name fallback,exact-name match
DDInter1076,Lipoic acid,DB00166,Lipoic acid,4053,exact normalized-name fallback,exact-name match
DDInter1077,Liraglutide,DB06655,Liraglutide,3168,exact normalized-name fallback,exact-name match
DDInter1078,Lisdexamfetamine,DB01255,Lisdexamfetamine,3942,exact normalized-name fallback,exact-name match
DDInter1079,Lisinopril,DB00722,Lisinopril,5473,exact normalized-name fallback,exact-name match
DDInter108,Apixaban,DB06605,Apixaban,3802,exact normalized-name fallback,exact-name match
DDInter1080,Lisocabtagene maraleucel,,,,none,unmapped
DDInter1081,Lithium carbonate,DB14509,Lithium carbonate,6614,exact normalized-name fallback,exact-name match
DDInter1082,Lixisenatide,DB09265,Lixisenatide,6734,exact normalized-name fallback,exact-name match
DDInter1083,Lofexidine,DB04948,Lofexidine,3975,exact normalized-name fallback,exact-name match
DDInter1084,Lomefloxacin,DB00978,Lomefloxacin,4101,exact normalized-name fallback,exact-name match
DDInter1085,Lomitapide,DB08827,Lomitapide,4374,exact normalized-name fallback,exact-name match
DDInter1086,Lomustine,DB01206,Lomustine,3937,exact normalized-name fallback,exact-name match
DDInter1087,Lonafarnib,DB06448,Lonafarnib,3800,exact normalized-name fallback,exact-name match
DDInter1088,Loperamide,DB00836,Loperamide,3908,exact normalized-name fallback,exact-name match
DDInter1089,Lopinavir,DB01601,Lopinavir,3129,exact normalized-name fallback,exact-name match
DDInter109,Apomorphine,DB00714,Apomorphine,3003,exact normalized-name fallback,exact-name match
DDInter1090,Loracarbef,DB00447,Loracarbef,9031,exact normalized-name fallback,exact-name match
DDInter1091,Loratadine,DB00455,Loratadine,3733,exact normalized-name fallback,exact-name match
DDInter1092,Lorazepam,DB00186,Lorazepam,4199,exact normalized-name fallback,exact-name match
DDInter1093,Lorcaserin,DB04871,Lorcaserin,3971,exact normalized-name fallback,exact-name match
DDInter1094,Lorlatinib,DB12130,Lorlatinib,3837,exact normalized-name fallback,exact-name match
DDInter1095,Losartan,DB00678,Losartan,2998,exact normalized-name fallback,exact-name match
DDInter1096,Loteprednol (ophthalmic),,,,none,unmapped
DDInter1097,Loteprednol etabonate,,,,none,unmapped
DDInter1098,Lovastatin,DB00227,Lovastatin,2918,exact normalized-name fallback,exact-name match
DDInter1099,Loxapine,DB00408,Loxapine,4794,exact normalized-name fallback,exact-name match
DDInter11,Acarbose,DB00284,Acarbose,6615,exact normalized-name fallback,exact-name match
DDInter110,Apraclonidine,DB00964,Apraclonidine,5630,exact normalized-name fallback,exact-name match
DDInter1100,Lubiprostone,DB01046,Lubiprostone,4596,exact normalized-name fallback,exact-name match
DDInter1101,Lumacaftor,DB09280,Lumacaftor,3210,exact normalized-name fallback,exact-name match
DDInter1102,Lumateperone,DB06077,Lumateperone,3416,exact normalized-name fallback,exact-name match
DDInter1103,Lumefantrine,DB06708,Lumefantrine,3996,exact normalized-name fallback,exact-name match
DDInter1104,Lurasidone,DB08815,Lurasidone,4373,exact normalized-name fallback,exact-name match
DDInter1105,Lurbinectedin,DB12674,Lurbinectedin,3251,exact normalized-name fallback,exact-name match
DDInter1106,Lusutrombopag,DB13125,Lusutrombopag,3482,exact normalized-name fallback,exact-name match
DDInter1107,Lutein,,,,none,unmapped
DDInter1108,Lutetium Lu 177 dotatate,DB13985,Lutetium Lu 177 dotatate,6065,exact normalized-name fallback,exact-name match
DDInter1109,Lyme disease vaccine (recombinant OspA),,,,none,unmapped
DDInter111,Apremilast,DB05676,Apremilast,4132,exact normalized-name fallback,exact-name match
DDInter1110,Macimorelin,DB13074,Macimorelin,4485,exact normalized-name fallback,exact-name match
DDInter1111,Macitentan,DB08932,Macitentan,3193,exact normalized-name fallback,exact-name match
DDInter1112,Magaldrate,DB08938,Magaldrate,9580,exact normalized-name fallback,exact-name match
DDInter1113,Magnesium carbonate,DB09481,Magnesium carbonate,8929,exact normalized-name fallback,exact-name match
DDInter1114,Magnesium chloride,DB09407,Magnesium chloride,9182,exact normalized-name fallback,exact-name match
DDInter1115,Magnesium citrate,DB11110,Magnesium citrate,9200,exact normalized-name fallback,exact-name match
DDInter1116,Magnesium gluconate,DB13749,Magnesium gluconate,3375,exact normalized-name fallback,exact-name match
DDInter1117,Magnesium glycinate,DB11189,Magnesium glycinate,9775,exact normalized-name fallback,exact-name match
DDInter1118,Magnesium hydroxide,DB09104,Magnesium hydroxide,9159,exact normalized-name fallback,exact-name match
DDInter1119,Magnesium oxide,DB01377,Magnesium oxide,9145,exact normalized-name fallback,exact-name match
DDInter112,Aprepitant,DB00673,Aprepitant,4238,exact normalized-name fallback,exact-name match
DDInter1120,Magnesium sulfate,DB00653,Magnesium sulfate,8952,exact normalized-name fallback,exact-name match
DDInter1121,Manganese (chloride),,,,none,unmapped
DDInter1122,Manganese (sulfate),,,,none,unmapped
DDInter1123,Mannitol,DB00742,Mannitol,9122,exact normalized-name fallback,exact-name match
DDInter1124,Maprotiline,DB00934,Maprotiline,3325,exact normalized-name fallback,exact-name match
DDInter1125,Maraviroc,DB04835,Maraviroc,4319,exact normalized-name fallback,exact-name match
DDInter1126,Mazindol,DB00579,Mazindol,5136,exact normalized-name fallback,exact-name match
DDInter1127,Measles virus vaccine live attenuated,,,,none,unmapped
DDInter1128,Mebendazole,DB00643,Mebendazole,4650,exact normalized-name fallback,exact-name match
DDInter1129,Mebrofenin,,,,none,unmapped
DDInter113,Aprotinin,DB06692,Aprotinin,3654,exact normalized-name fallback,exact-name match
DDInter1130,Mecamylamine,DB00657,Mecamylamine,6430,exact normalized-name fallback,exact-name match
DDInter1131,Mecasermin,DB01277,Mecasermin,3337,exact normalized-name fallback,exact-name match
DDInter1132,Mecasermin rinfabate,,,,none,unmapped
