artifact_type,path,graph,seed,size_bytes,modified_local,sha256,loads,load_detail
checkpoint,D:\PNU\graduation\real\CHEERS_PrimeKG_RGCN_Final_App\checkpoints\rgcn_multiseed\G3_seed44_best.pt,G3,44,26446322,2026-08-08T18:31:42+09:00,d4df7c845fe65b175afdfdc8512fe466451029c682a2a34f9d52a84b35811d50,success,"graph=G3; seed=44; node_embedding=(13094, 128); ddi_relation=(128,)"
checkpoint,D:\PNU\graduation\real\CHEERS_PrimeKG_RGCN_Final_App_BACKUP\checkpoints\rgcn_multiseed\G3_seed44_best.pt,G3,44,26446322,2026-08-08T18:31:42+09:00,d4df7c845fe65b175afdfdc8512fe466451029c682a2a34f9d52a84b35811d50,success,"graph=G3; seed=44; node_embedding=(13094, 128); ddi_relation=(128,)"
checkpoint,D:\PNU\graduation\real\CHEERS_PrimeKG_RGCN_Final_App_LIGHTWEIGHT_VERIFIED_BACKUP\checkpoints\rgcn_multiseed\G3_seed44_best.pt,G3,44,26446322,2026-08-08T18:31:42+09:00,d4df7c845fe65b175afdfdc8512fe466451029c682a2a34f9d52a84b35811d50,success,"graph=G3; seed=44; node_embedding=(13094, 128); ddi_relation=(128,)"
checkpoint,D:\PNU\graduation\real\CHEERS_PrimeKG_RGCN_Final_App_UI_BACKUP\checkpoints\rgcn_multiseed\G3_seed44_best.pt,G3,44,26446322,2026-08-08T18:31:42+09:00,d4df7c845fe65b175afdfdc8512fe466451029c682a2a34f9d52a84b35811d50,success,"graph=G3; seed=44; node_embedding=(13094, 128); ddi_relation=(128,)"
