severity,pair_count,directional_query_count,MRR,Hits@1,Hits@5,Hits@10,MeanRank,MedianRank,MinRank,MaxRank
Major,5876,11752,0.010968079403714671,0.0016167460857726345,0.009700476514635807,0.019571136827773995,1168.9754084411163,763,1,4211
Moderate,26058,52116,0.011565949004787787,0.0029357586921482846,0.01095632819095863,0.019629288510246375,1084.965557602272,723,1,4244
Minor,2402,4804,0.01745994852103455,0.0035387177352206494,0.018526228143213988,0.033721898417985015,879.4989592006661,480,1,4195
Unknown,14769,29538,0.027260408846635834,0.009513169476606406,0.03145101225539983,0.05213623129528065,771.9166835940144,380,1,4228
