graph,MRR_mean,MRR_std,Hits1_mean,Hits1_std,Hits3_mean,Hits3_std,Hits5_mean,Hits5_std,Hits10_mean,Hits10_std,MeanRank_mean,MeanRank_std,DeltaMRR_mean,DeltaMRR_std,DeltaMRR_min,DeltaMRR_max,PositiveSeeds,Relation,BiomedicalEdges,BiomedicalDirectedEdges,PositiveSeedsTotal,G0_MRR_mean,G0_MRR_std,MRR_mean_std,DeltaMRR_mean_std
A5_indication,0.5356592138608297,0.008666389669784839,0.4883420368035634,0.008663877482167532,0.555056611696879,0.008808436318083363,0.5809533397356669,0.009078516711357829,0.6181699832280477,0.00944871049361913,122.41418965657552,6.6406532371422635,0.0065415988552723165,0.00970939772162769,-0.004611965257642181,0.013103728465173714,2,Indication,9388,18776,2/3,0.5291176150055573,0.008136079645694039,0.535659 ± 0.008666,+0.006542 ± 0.009709
A4_carrier,0.5352631012598673,0.005680375507454176,0.48922019203503925,0.005818747256604008,0.5535198251406351,0.00522716237333529,0.5797633528709412,0.005345814227428372,0.6155068476994833,0.005764477032381997,122.49839528401692,5.945315837244002,0.006145486254309995,0.004079402340701691,0.0015230812244440006,0.009241897188851822,3,Carrier,864,1728,3/3,0.5291176150055573,0.008136079645694039,0.535263 ± 0.005680,+0.006145 ± 0.004079
A1_target,0.5351538260777792,0.009967210564168988,0.4888384938240051,0.010800596269559523,0.5539788603782654,0.009876641383376602,0.5797321597735087,0.009778847801235759,0.615822434425354,0.008998248526360764,123.62750244140625,7.074877622499757,0.006036211072221779,0.013415564925967953,-0.009421762067792327,0.014640230261514176,2,Target,16380,32760,2/3,0.5291176150055573,0.008136079645694039,0.535154 ± 0.009967,+0.006036 ± 0.013416
A3_transporter,0.5326453049977621,0.010348261800715523,0.4870959122975667,0.010594331541036789,0.5500908096631368,0.009986384712888992,0.5762208104133606,0.01041129886230263,0.6129060983657837,0.009253647172471883,124.22313181559245,7.561241224086964,0.003527689992204689,0.0033270012277970165,0.0009594145647978669,0.0072860767165164875,3,Transporter,3092,6184,3/3,0.5291176150055573,0.008136079645694039,0.532645 ± 0.010348,+0.003528 ± 0.003327
A2_enzyme,0.5279792745908102,0.0022689564586885354,0.48128314812978107,0.00159888824964613,0.5462401509284973,0.0022547967185445974,0.5728765924771627,0.0040441393746698615,0.6102628906567892,0.004989879133914078,128.7307103474935,1.9797726171984469,-0.001138340414747215,0.008075775422242063,-0.008740719396588714,0.007339495741555679,1,Enzyme,5317,10634,1/3,0.5291176150055573,0.008136079645694039,0.527979 ± 0.002269,-0.001138 ± 0.008076
A6_contraindication,0.5258070627848307,0.003087071452793603,0.4785289565722148,0.003906721650295413,0.5442742904027303,0.0031696244048445843,0.5719348390897115,0.0016623528352607865,0.6087909936904907,0.0018028999866948727,128.60347747802734,2.0704755597830546,-0.003310552220726626,0.0074874653639962485,-0.009291226693059929,0.005086797796914566,1,Contraindication,30675,61350,1/3,0.5291176150055573,0.008136079645694039,0.525807 ± 0.003087,-0.003311 ± 0.007487
A7_off_label,0.5105764965216318,0.038774361847624964,0.46606767177581787,0.0355562143111023,0.5273848573366801,0.04097009746936641,0.551744818687439,0.044452720010110476,0.587363600730896,0.04633380227130185,146.1757329305013,38.87737595080886,-0.01854111848392548,0.030787614175118286,-0.05401231018381358,0.0012494971075992511,1,Off-label use,2568,5136,1/3,0.5291176150055573,0.008136079645694039,0.510576 ± 0.038774,-0.018541 ± 0.030788
