graph,seed,relation_MRR,G0_MRR,delta_MRR
A1_target,42,0.5454466938972473,0.5325565288743038,0.01289016502294349
A1_target,43,0.5255478024482727,0.534969564516065,-0.009421762067792327
A1_target,44,0.5344669818878174,0.5198267516263032,0.014640230261514176
A2_enzyme,42,0.5305427312850952,0.5325565288743038,-0.00201379758920861
A2_enzyme,43,0.5262288451194763,0.534969564516065,-0.008740719396588714
A2_enzyme,44,0.5271662473678589,0.5198267516263032,0.007339495741555679
A3_transporter,42,0.5398426055908203,0.5325565288743038,0.0072860767165164875
A3_transporter,43,0.5373071432113647,0.534969564516065,0.0023375786952997135
A3_transporter,44,0.5207861661911011,0.5198267516263032,0.0009594145647978669
A4_carrier,42,0.540228009223938,0.5325565288743038,0.007671480349634163
A4_carrier,43,0.536492645740509,0.534969564516065,0.0015230812244440006
A4_carrier,44,0.529068648815155,0.5198267516263032,0.009241897188851822
A5_indication,42,0.5456602573394775,0.5325565288743038,0.013103728465173714
A5_indication,43,0.5303575992584229,0.534969564516065,-0.004611965257642181
A5_indication,44,0.5309597849845886,0.5198267516263032,0.011133033358285416
A6_contraindication,42,0.5232653021812439,0.5325565288743038,-0.009291226693059929
A6_contraindication,43,0.5292423367500305,0.534969564516065,-0.005727227766034515
A6_contraindication,44,0.5249135494232178,0.5198267516263032,0.005086797796914566
A7_off_label,42,0.5338060259819031,0.5325565288743038,0.0012494971075992511
A7_off_label,43,0.5321090221405029,0.534969564516065,-0.002860542375562103
A7_off_label,44,0.4658144414424896,0.5198267516263032,-0.05401231018381358
