severity,pair_count,directional_query_count,MRR,Hits@1,Hits@5,Hits@10,MeanRank,MedianRank,MinRank,MaxRank
Major,5876,11752,0.017328263266991377,0.0055309734513274336,0.0205071477195371,0.033185840707964605,1189.6155547991832,863,1,4178
Moderate,26058,52116,0.012118734543862348,0.0037608412003991096,0.011685470872668663,0.02131782945736434,1131.3338322204313,798,1,4232
Minor,2402,4804,0.010009113052728757,0.0018734388009991674,0.009159034138218152,0.014571190674437969,1074.8553288925896,631,1,4113
Unknown,14769,29538,0.011476448732715189,0.002742230347349177,0.01157830591102986,0.02105762069198998,1091.391461845758,741,1,4208
