Drug_A,DrugBank_ID_A,PrimeKG_node_A,Drug_B,DrugBank_ID_B,PrimeKG_node_B,mapping_method_A,mapping_method_B,source_row_count,unique_description_count,PrimeKG_train_overlap,PrimeKG_known_overlap
Abiraterone,DB05812,3159,Clemastine,DB00283,3869,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Clenbuterol,DB01407,4652,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Clotiazepam,DB01559,4299,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Clotrimazole,DB00257,3867,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Cobicistat,DB09065,3817,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Conivaptan,DB00872,4253,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Crizotinib,DB08865,3810,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Cyclosporine,DB00091,3717,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Darunavir,DB01264,3109,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Daunorubicin,DB00694,3572,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Deferasirox,DB01609,4121,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Deslanoside,DB01078,6408,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Dexmethylphenidate,DB06701,6098,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Digitoxin,DB01396,3122,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Digoxin,DB00390,4623,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Dihydroergotamine,DB00320,4214,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Dinoprostone,DB00917,5003,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Docetaxel,DB01248,3576,exact normalized-name,exact normalized-name,1,1,False,False
