severity,pair_count,directional_query_count,MRR,Hits@1,Hits@5,Hits@10,MeanRank,MedianRank,MinRank,MaxRank
Major,5876,11752,0.014781529230000132,0.004169503063308373,0.01650782845473111,0.02910142954390742,1178.9917460857725,862,1,4150
Moderate,26058,52116,0.012226462682975465,0.003818405096323586,0.0123186737278379,0.02118351370020723,1120.5794573643411,794,1,4243
Minor,2402,4804,0.008915062451032836,0.0016652789342214821,0.008742714404662781,0.014779350541215654,1156.8066194837636,774,1,3875
Unknown,14769,29538,0.011288899432046862,0.0027760850429954633,0.011002776085042996,0.01973728756178482,1067.094657729027,720,1,4205
